rpe = 0.118329433997
stamp_est0 	  stamp_est1 	    stamp_gt0 	      stamp_gt1 	trans_error rot_error
1305031103.875800 1305031103.755800 1305031103.143318 1305031103.143318 0.050174 0.030414
1305031118.526200 1305031103.385800 1305031118.511255 1305031103.143318 0.048792 0.069523
1305031101.965900 1305031113.875700 1305031102.175304 1305031114.043301 0.097610 0.084740
1305031122.655600 1305031116.915700 1305031122.314289 1305031116.779298 0.116306 0.074068
1305031121.405600 1305031106.635800 1305031121.583204 1305031106.511129 0.064386 0.024647
1305031107.205700 1305031111.625800 1305031107.575454 1305031111.179326 0.234271 0.214199
1305031104.355800 1305031122.235600 1305031104.611336 1305031122.314289 0.085177 0.044942
1305031122.505600 1305031124.105500 1305031122.314289 1305031124.211396 0.038621 0.059233
1305031121.265600 1305031103.315800 1305031121.583204 1305031103.143318 0.113397 0.049451
1305031115.655600 1305031109.585800 1305031116.080030 1305031109.275308 0.092914 0.122769
1305031111.105700 1305031117.185700 1305031111.179326 1305031116.779298 0.185043 0.288798
1305031122.885600 1305031105.505800 1305031123.311327 1305031106.143355 0.281052 0.034056
1305031117.685700 1305031117.595600 1305031118.179323 1305031118.179323 0.023475 0.014319
1305031113.665700 1305031120.685600 1305031113.443266 1305031120.415445 0.123239 0.136907
1305031112.205800 1305031121.085600 1305031112.411442 1305031121.583204 0.164591 0.029135
1305031112.245700 1305031114.025700 1305031112.411442 1305031114.043301 0.087937 0.048313
1305031122.965600 1305031119.905600 1305031123.311327 1305031119.879214 0.116916 0.073258
1305031121.965600 1305031117.055700 1305031121.914931 1305031116.779298 0.192058 0.215175
1305031121.635600 1305031110.355700 1305031121.583204 1305031110.679606 0.144107 0.104373
1305031122.025500 1305031117.525600 1305031121.914931 1305031118.179323 0.197713 0.004566
1305031123.655600 1305031102.465800 1305031123.683753 1305031102.175304 0.088761 0.091709
1305031120.075600 1305031108.505800 1305031119.879214 1305031108.443610 0.061747 0.028238
1305031115.735700 1305031109.185700 1305031116.080030 1305031109.275308 0.223986 0.171031
